Team,SpringWins,SpringLosses,Spring WL Ratio,SummerWins,SummerLosses,Summer WL Ratio,Total Wins,Total Losses,Season WL Ratio
TSM,13,5,0.72,11,7,0.61,24,12,0.67
Cloud9,12,6,0.67,6,12,0.33,18,18,0.5
Counter Logic Gaming,12,6,0.67,13,5,0.72,25,11,0.69
Team Impulse,11,7,0.61,12,6,0.67,23,13,0.63
Gravity,10,8,0.56,12,6,0.67,22,14,0.61
Team Liquid,9,9,0.5,13,5,0.72,22,14,0.61
Team 8,9,9,0.5,6,12,0.33,15,21,0.42
Winterfox*,7,11,0.39,0,0,0,7,11,0.39
Dignitas,6,12,0.33,10,8,0.56,16,20,0.44
Team Coast*,1,17,0.06,0,0,0,1,17,0.06
Enemy*,0,0,0,4,14,0.22,4,14,0.22
Team Dragon Knights*,0,0,0,3,15,0.17,3,15,0.17